timestamp,month,day_of_week,hour,temperature,humidity,wind_speed,wind_direction,pressure,precipitation,aqi,pm25,pm10,no2,so2,o3,co
2024-01-01T00:00:00,1,0,0,4.2,58.2,3.7,254.9,1021.0,0.0,271,104.8,158.5,35.9,12.4,33.1,295.7
2024-01-01T01:00:00,1,0,1,5.9,47.6,1.2,282.7,1011.6,0.0,352,126.5,218.2,34.2,8.4,35.8,615.6
2024-01-01T02:00:00,1,0,2,5.5,64.5,3.7,158.5,1016.1,0.0,284,151.0,223.7,41.5,11.0,37.2,374.9
2024-01-01T03:00:00,1,0,3,7.5,63.8,0.5,97.7,1013.3,0.0,302,138.5,193.7,48.4,7.4,27.0,539.6
2024-01-01T04:00:00,1,0,4,8.5,63.9,5.2,26.7,1020.3,0.0,248,90.0,136.5,27.9,15.8,51.2,356.5
2024-01-01T05:00:00,1,0,5,4.4,54.2,5.4,202.1,1020.4,0.0,320,139.4,183.7,29.1,7.0,25.2,459.7
2024-01-01T06:00:00,1,0,6,14.3,55.2,1.7,272.0,1013.5,0.0,258,98.6,192.4,41.5,15.0,35.1,431.2
2024-01-01T07:00:00,1,0,7,15.4,56.8,2.2,39.6,1020.0,0.0,349,182.2,237.8,45.7,15.7,29.2,356.7
2024-01-01T08:00:00,1,0,8,13.1,53.3,3.5,253.1,1011.9,0.0,297,121.8,182.7,24.9,16.8,19.5,386.9
2024-01-01T09:00:00,1,0,9,13.2,52.4,1.6,176.2,1016.7,0.0,331,166.3,243.8,50.6,13.9,22.0,474.1
2024-01-01T10:00:00,1,0,10,9.8,55.8,1.8,67.1,1020.8,0.0,357,126.1,209.2,36.6,21.0,40.2,347.8
2024-01-01T11:00:00,1,0,11,13.6,53.4,2.0,40.9,1015.3,0.0,263,126.8,237.3,35.6,13.6,44.5,274.0
2024-01-01T12:00:00,1,0,12,16.4,66.9,6.2,323.0,1015.4,0.0,214,78.5,110.9,36.3,12.1,55.1,173.2
2024-01-01T13:00:00,1,0,13,20.4,42.8,5.6,80.7,1022.0,0.0,196,97.9,171.7,32.3,11.7,33.0,268.2
2024-01-01T14:00:00,1,0,14,16.6,47.3,5.2,227.2,1017.3,0.0,253,113.5,163.0,38.5,9.3,40.7,208.6
2024-01-01T15:00:00,1,0,15,19.7,62.4,1.9,138.6,1020.3,0.0,255,117.6,230.0,38.1,13.8,34.5,228.8
2024-01-01T16:00:00,1,0,16,22.6,55.5,5.2,252.9,1021.2,0.0,241,123.4,235.3,41.3,12.2,34.7,313.7
2024-01-01T17:00:00,1,0,17,15.3,64.9,3.6,121.7,1018.5,0.0,307,109.7,178.3,41.2,11.4,26.9,427.0
2024-01-01T18:00:00,1,0,18,9.8,51.7,6.9,77.7,1018.4,0.0,291,138.9,251.3,51.7,14.8,55.2,326.8
